dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
fb_200M_uint64,199999999,PGM-index,"epsilon=8192,epsilon_recursive=16",7600,0,20000000,2797632007,671886714,11954347897,6000503386886946,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=8192,epsilon_recursive=16",7600,1,20000000,2799239047,671462660,11882089431,6000503386886946,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=8192,epsilon_recursive=16",7600,2,20000000,2800992674,671819383,11890458252,6000503386886946,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=4096,epsilon_recursive=16",27064,0,20000000,3004881400,522898245,10025946032,6000504719247036,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=4096,epsilon_recursive=16",27064,1,20000000,3003242379,522057182,10031962984,6000504719247036,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=4096,epsilon_recursive=16",27064,2,20000000,3003135604,522203695,10027152381,6000504719247036,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2048,epsilon_recursive=16",94352,0,20000000,3291647278,796795313,9890929236,6000505293270107,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2048,epsilon_recursive=16",94352,1,20000000,3294804428,796193745,9884307935,6000505293270107,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2048,epsilon_recursive=16",94352,2,20000000,3288038575,796047474,9900140412,6000505293270107,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1024,epsilon_recursive=16",296096,0,20000000,3624100810,872914004,8856530235,6000506328851735,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1024,epsilon_recursive=16",296096,1,20000000,3627344182,870831773,8863459950,6000506328851735,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1024,epsilon_recursive=16",296096,2,20000000,3624398078,870741578,8863695256,6000506328851735,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=512,epsilon_recursive=16",807488,0,20000000,3965423785,1017399230,8140447507,6000507312757229,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=512,epsilon_recursive=16",807488,1,20000000,3947061226,1018617632,8227560262,6000507312757229,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=512,epsilon_recursive=16",807488,2,20000000,3950041713,1018675368,8202597677,6000507312757229,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=256,epsilon_recursive=16",1919240,0,20000000,4222146453,1305349100,6540134771,6000507965363770,2000169621899627
