dataset,n_keys,index,config,size_in_bytes,rep,n_queries,mean_ns,p50_ns,p90_ns,p95_ns,p99_ns,bytes_read
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=8",257276576,0,20000000,231.8,210,260,344,791,960000000
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=8",257276576,1,20000000,235.597,212,265,397,801,960000000
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=8",257276576,2,20000000,215.983,205,242,283,762,960000000
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,0,20000000,210.352,199,236,270,754,640000000
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,1,20000000,222.171,203,251,377,776,640000000
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,2,20000000,226.182,206,257,340,780,640000000
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,0,20000000,261.041,236,342,420,819,8489998880
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,1,20000000,296.715,261,389,573,943,8489998880
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,2,20000000,273.958,246,356,452,852,8489998880
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,0,20000000,292.451,258,387,505,898,13347613552
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,1,20000000,326.971,281,437,687,1089,13347613552
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,2,20000000,292.887,259,379,520,909,13347613552
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,0,20000000,297.502,266,406,497,873,20736442448
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,1,20000000,290.246,261,390,465,852,20736442448
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,2,20000000,287.455,259,389,458,841,20736442448
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,0,20000000,354.319,323,480,610,987,48323895080
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,1,20000000,353.069,324,476,595,973,48323895080
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,2,20000000,353.869,323,478,604,983,48323895080
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,0,20000000,396.493,358,531,727,1099,72408833920
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,1,20000000,432.054,375,606,850,1317,72408833920
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,2,20000000,410.761,365,560,787,1181,72408833920
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,0,20000000,439.4,397,591,827,1216,107075735216
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,1,20000000,432.442,394,575,799,1181,107075735216
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,2,20000000,432.663,395,577,801,1182,107075735216
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,0,20000000,468.052,426,623,886,1262,158122156240
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,1,20000000,473.272,429,635,898,1273,158122156240
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,2,20000000,472.812,430,629,892,1270,158122156240
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,0,20000000,546.174,491,758,1066,1437,335490957320
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,1,20000000,545.736,492,759,1064,1435,335490957320
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,2,20000000,547.253,493,758,1068,1439,335490957320
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,0,20000000,716.248,643,1058,1342,1674,2265146704784
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,1,20000000,725.521,648,1090,1353,1728,2265146704784
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,2,20000000,768.052,672,1184,1434,2054,2265146704784
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,0,20000000,848.301,757,1281,1502,1985,13710728264600
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,1,20000000,825.45,740,1241,1471,1900,13710728264600
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,2,20000000,886.232,783,1331,1567,2400,13710728264600
